inspection_id,block_id,lot_id,bin,location_lat,location_lon,inspection_date,inspector_id,material_type,condition_rating,ada_compliant,defect_count,repair_priority,estimated_repair_cost
INSP_000001,1001,1,1000001,40.7505,-74.0012,2025-12-15,INSP_001,Concrete,Good,true,2,Medium,2500.00
INSP_000002,1002,2,1000002,40.7506,-74.0013,2025-12-14,INSP_002,Asphalt,Fair,false,5,High,5000.00
INSP_000003,1003,3,1000003,40.7507,-74.0014,2025-12-13,INSP_003,Granite,Good,true,1,Low,1500.00
INSP_000004,1004,4,1000004,40.7508,-74.0015,2025-12-12,INSP_004,Brick,Poor,false,8,High,8000.00
INSP_000005,1005,5,1000005,40.7509,-74.0016,2025-12-11,INSP_005,Concrete,Fair,true,3,Medium,3000.00
INSP_000006,1006,6,1000006,40.7510,-74.0017,2025-12-10,INSP_001,Asphalt,Good,true,2,Low,2000.00
INSP_000007,1007,7,1000007,40.7511,-74.0018,2025-12-09,INSP_002,Granite,Poor,false,10,High,10000.00
INSP_000008,1008,8,1000008,40.7512,-74.0019,2025-12-08,INSP_003,Concrete,Good,true,1,Low,1000.00
INSP_000009,1009,9,1000009,40.7513,-74.0020,2025-12-07,INSP_004,Brick,Fair,true,4,Medium,4000.00
INSP_000010,1010,10,1000010,40.7514,-74.0021,2025-12-06,INSP_005,Asphalt,Good,false,2,Low,2500.00
INSP_000011,1011,11,1000011,40.7515,-74.0022,2025-12-05,INSP_001,Concrete,Fair,true,5,High,5500.00
INSP_000012,1012,12,1000012,40.7516,-74.0023,2025-12-04,INSP_002,Granite,Good,true,2,Medium,2200.00
INSP_000013,1013,13,1000013,40.7517,-74.0024,2025-12-03,INSP_003,Brick,Poor,false,9,High,9000.00
INSP_000014,1014,14,1000014,40.7518,-74.0025,2025-12-02,INSP_004,Asphalt,Fair,true,3,Medium,3500.00
INSP_000015,1015,15,1000015,40.7519,-74.0026,2025-12-01,INSP_005,Concrete,Good,true,1,Low,1200.00
INSP_000016,1016,16,1000016,40.7520,-74.0027,2025-11-30,INSP_001,Granite,Fair,false,6,High,6000.00
INSP_000017,1017,17,1000017,40.7521,-74.0028,2025-11-29,INSP_002,Brick,Good,true,2,Low,2400.00
INSP_000018,1018,18,1000018,40.7522,-74.0029,2025-11-28,INSP_003,Asphalt,Poor,false,7,High,7500.00
INSP_000019,1019,19,1000019,40.7523,-74.0030,2025-11-27,INSP_004,Concrete,Fair,true,4,Medium,4200.00
INSP_000020,1020,20,1000020,40.7524,-74.0031,2025-11-26,INSP_005,Granite,Good,true,1,Low,1100.00
